                                                        Base Names                                                        
+------------------------------------------------------------------------------------------------------------------------+
| dec  | sex   | doz  | hex | nif | occ | name                              | base                                | abbv |
|------+-------+------+-----+-----+-----+-----------------------------------+-------------------------------------+------|
| 1    | 1     | 1    | 1   | 1   | 1   | una                               | unary                               | UNA  |
| 2    | 2     | 2    | 2   | 2   | 2   | bin                               | binary                              | BIN  |
| 3    | 3     | 3    | 3   | 3   | 3   | tri                               | trinary                             | TRI  |
| 4    | 4     | 4    | 4   | 4   | 4   | quater                            | quaternary                          | QUA  |
| 5    | 5     | 5    | 5   | 5   | 5   | quin                              | quinary                             | QUI  |
| 6    | 10    | 6    | 6   | 6   | 6   | sex                               | seximal                             | SEX  |
| 7    | 11    | 7    | 7   | 7   | 7   | sept                              | septimal                            | SEP  |
| 8    | 12    | 8    | 8   | 8   | 8   | oct                               | octal                               | OCT  |
| 9    | 13    | 9    | 9   | 9   | 9   | non                               | nonary                              | NON  |
| 10   | 14    | E    | A   | A   | A   | dec                               | decimal                             | DEC  |
| 11   | 15    | X    | B   | B   | B   | eleven                            | elevenary                           | ELE  |
| 12   | 20    | 10   | C   | C   | C   | dozen                             | dozenal                             | DOZ  |
| 13   | 21    | 11   | D   | D   | D   | baker's dozen                     | baker's dozenal                     | BAK  |
| 14   | 22    | 12   | E   | E   | E   | bisept                            | biseptimal                          | BIS  |
| 15   | 23    | 13   | F   | F   | F   | triquin                           | triquinary                          | TRQ  |
| 16   | 24    | 14   | 10  | G   | G   | hex                               | hex                                 | HEX  |
| 17   | 25    | 15   | 11  | H   | H   | subopt                            | suboptimal                          | SUB  |
| 18   | 30    | 16   | 12  | I   | I   | trisex                            | triseximal                          | TRS  |
| 19   | 31    | 17   | 13  | J   | J   | untrisex                          | untriseximal                        | UNT  |
| 20   | 32    | 18   | 14  | K   | K   | viges                             | vigesimal                           | VIG  |
| 21   | 33    | 19   | 15  | L   | L   | trisept                           | triseptimal                         | TIS  |
| 22   | 34    | 1E   | 16  | M   | M   | bieleven                          | bielevenary                         | BIE  |
| 23   | 35    | 1X   | 17  | N   | N   | unbieleven                        | unbielevenary                       | UNB  |
| 24   | 40    | 20   | 18  | O   | O   | tetrasex                          | tetraseximal                        | TET  |
| 25   | 41    | 21   | 19  | P   | P   | pentaquin                         | pentaquinary                        | PEN  |
| 26   | 42    | 22   | 1A  | Q   | Q   | biker's dozen                     | biker's dozenal                     | BIK  |
| 27   | 43    | 23   | 1B  | R   | R   | trinon                            | trinonary                           | TRN  |
| 28   | 44    | 24   | 1C  | S   | S   | tetrasept                         | tetraseptimal                       | TER  |
| 29   | 45    | 25   | 1D  | T   | T   | untetrasept                       | untetraseptimal                     | UTT  |
